x1,y1,x2,y2,class,true_class_name,image,image_path,class_id
45,115,585,382,86,Dodge Ram Pickup 3500 Crew Cab 2010,00028.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00028.jpg,25
28,139,1564,1126,180,Spyker C8 Coupe 2009,00029.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00029.jpg,26
82,109,874,521,194,Volvo 240 Sedan 1993,00030.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00030.jpg,23
55,318,446,564,154,Land Rover Range Rover SUV 2012,00031.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00031.jpg,27
12,31,471,350,139,Hyundai Elantra Touring Hatchback 2012,00032.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00032.jpg,28
34,197,1011,656,66,Chevrolet Cobalt SS 2010,00033.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00033.jpg,29
37,63,614,397,133,Hyundai Veracruz SUV 2012,00034.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00034.jpg,30
223,87,1111,670,154,Land Rover Range Rover SUV 2012,00035.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00035.jpg,27
138,41,521,223,104,Ferrari 458 Italia Coupe 2012,00036.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00036.jpg,31
31,87,616,344,38,BMW Z4 Convertible 2012,00037.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00037.jpg,32
16,89,459,326,97,Dodge Charger SRT-8 2009,00038.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00038.jpg,33
53,113,614,350,105,Fisker Karma Sedan 2012,00039.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00039.jpg,34
214,110,660,403,142,Infiniti QX56 SUV 2011,00040.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00040.jpg,35
61,55,566,408,13,Audi A5 Coupe 2012,00041.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00041.jpg,36
28,61,622,371,191,Volkswagen Golf Hatchback 1991,00042.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00042.jpg,37
22,39,588,362,119,GMC Savana Van 2012,00043.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00043.jpg,38
220,193,537,364,38,BMW Z4 Convertible 2012,00044.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00044.jpg,32
12,108,489,297,186,Toyota Sequoia SUV 2012,00045.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00045.jpg,11
28,80,759,466,25,Audi TT RS Coupe 2012,00046.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00046.jpg,39
84,248,1102,899,194,Volvo 240 Sedan 1993,00047.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00047.jpg,23
142,69,753,451,177,Rolls-Royce Phantom Sedan 2012,00048.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00048.jpg,40
166,543,887,903,173,Porsche Panamera Sedan 2012,00049.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00049.jpg,41
20,96,564,341,42,Bentley Continental GT Coupe 2012,00050.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00050.jpg,42
41,181,607,465,91,Dodge Dakota Club Cab 2007,00051.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00051.jpg,2
39,29,774,395,148,Jeep Grand Cherokee SUV 2012,00052.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00052.jpg,43
161,191,425,307,15,Audi R8 Coupe 2012,00053.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00053.jpg,44
58,562,1528,1081,97,Dodge Charger SRT-8 2009,00054.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00054.jpg,33
80,120,582,391,42,Bentley Continental GT Coupe 2012,00055.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00055.jpg,42
32,48,472,267,53,Cadillac Escalade EXT Crew Cab 2007,00056.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00056.jpg,45
260,138,972,439,44,Bentley Continental Flying Spur Sedan 2007,00057.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00057.jpg,46
11,35,256,173,65,Chevrolet Avalanche Crew Cab 2012,00058.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00058.jpg,47
68,91,607,354,90,Dodge Dakota Crew Cab 2010,00059.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00059.jpg,48
129,120,345,269,124,HUMMER H3T Crew Cab 2010,00060.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00060.jpg,49
11,104,1011,742,114,Ford F-150 Regular Cab 2007,00061.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00061.jpg,50
19,21,425,265,190,Volkswagen Golf Hatchback 2012,00062.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00062.jpg,51
175,330,928,647,101,Ferrari FF Coupe 2012,00063.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00063.jpg,52
97,39,925,700,187,Toyota Camry Sedan 2012,00064.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00064.jpg,53
63,175,417,320,8,Aston Martin V8 Vantage Convertible 2012,00065.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00065.jpg,54
30,39,221,125,17,Audi 100 Sedan 1994,00066.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00066.jpg,55
129,89,594,432,111,Ford Ranger SuperCab 2011,00067.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00067.jpg,56
32,43,598,350,122,GMC Canyon Extended Cab 2012,00068.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00068.jpg,57
142,124,675,445,5,Acura TSX Sedan 2012,00069.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00069.jpg,58
220,313,1054,976,29,BMW 3 Series Sedan 2012,00070.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00070.jpg,59
8,12,639,299,126,Honda Odyssey Minivan 2012,00071.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00071.jpg,60
92,271,1178,749,94,Dodge Durango SUV 2012,00072.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00072.jpg,61
15,12,314,230,106,Ford F-450 Super Duty Crew Cab 2012,00073.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00073.jpg,4
14,12,309,223,106,Ford F-450 Super Duty Crew Cab 2012,00074.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00074.jpg,4
45,74,522,253,188,Toyota Corolla Sedan 2012,00075.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00075.jpg,62
12,27,284,166,59,Chevrolet Camaro Convertible 2012,00076.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00076.jpg,63
25,25,3502,2017,110,Ford Edge SUV 2012,00077.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00077.jpg,64
36,88,611,417,43,Bentley Continental GT Coupe 2007,00078.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00078.jpg,65
165,126,749,425,133,Hyundai Veracruz SUV 2012,00079.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00079.jpg,30
20,21,292,217,111,Ford Ranger SuperCab 2011,00080.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00080.jpg,56
10,55,540,271,8,Aston Martin V8 Vantage Convertible 2012,00081.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00081.jpg,54
63,113,597,413,192,Volkswagen Beetle Hatchback 2012,00082.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00082.jpg,17
55,48,294,205,18,Audi 100 Wagon 1994,00083.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00083.jpg,66
27,67,620,474,116,Ford E-Series Wagon Van 2012,00084.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00084.jpg,67
15,80,629,402,49,Buick Verano Sedan 2012,00085.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00085.jpg,10
119,300,1416,871,145,Jeep Patriot SUV 2012,00086.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00086.jpg,68
17,36,455,215,49,Buick Verano Sedan 2012,00087.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00087.jpg,10
171,176,2373,1751,170,Nissan Juke Hatchback 2012,00088.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00088.jpg,22
49,195,1003,617,20,Audi S6 Sedan 2011,00089.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00089.jpg,69
5,43,296,211,114,Ford F-150 Regular Cab 2007,00090.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00090.jpg,50
49,57,494,419,165,Mercedes-Benz S-Class Sedan 2012,00091.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00091.jpg,70
101,84,492,272,138,Hyundai Sonata Sedan 2012,00092.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00092.jpg,71
23,53,258,144,175,Rolls-Royce Phantom Drophead Coupe Convertible 2012,00093.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00093.jpg,72
19,60,783,440,112,Ford GT Coupe 2006,00094.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00094.jpg,73
110,171,1213,648,122,GMC Canyon Extended Cab 2012,00095.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00095.jpg,57
39,67,346,206,104,Ferrari 458 Italia Coupe 2012,00096.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00096.jpg,31
3,7,76,50,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,00097.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00097.jpg,18
65,37,578,360,51,Cadillac CTS-V Sedan 2012,00098.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00098.jpg,74
27,60,486,364,37,BMW X3 SUV 2012,00099.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00099.jpg,75
22,180,454,355,71,Chevrolet Express Van 2007,00100.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00100.jpg,76
70,39,940,742,193,Volvo C30 Hatchback 2012,00101.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00101.jpg,14
99,130,396,222,105,Fisker Karma Sedan 2012,00102.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00102.jpg,34
85,107,609,381,61,Chevrolet Impala Sedan 2007,00103.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00103.jpg,77
1,76,480,315,74,Chevrolet Silverado 1500 Extended Cab 2012,00104.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00104.jpg,78
57,266,967,623,133,Hyundai Veracruz SUV 2012,00105.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00105.jpg,30
69,75,236,161,162,Mercedes-Benz C-Class Sedan 2012,00106.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00106.jpg,79
24,17,249,163,131,Hyundai Santa Fe SUV 2012,00107.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00107.jpg,80
7,27,212,147,88,Dodge Sprinter Cargo Van 2009,00108.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00108.jpg,81
18,14,248,168,121,GMC Acadia SUV 2012,00109.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00109.jpg,82
19,2,591,387,180,Spyker C8 Coupe 2009,00110.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00110.jpg,26
52,6,759,513,180,Spyker C8 Coupe 2009,00111.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00111.jpg,26
231,103,430,226,137,Hyundai Genesis Sedan 2012,00112.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00112.jpg,83
91,148,700,582,133,Hyundai Veracruz SUV 2012,00113.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00113.jpg,30
19,72,624,397,71,Chevrolet Express Van 2007,00114.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00114.jpg,76
26,90,376,243,83,Dodge Caliber Wagon 2012,00115.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00115.jpg,84
132,120,667,401,110,Ford Edge SUV 2012,00116.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00116.jpg,64
84,44,663,342,42,Bentley Continental GT Coupe 2012,00117.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00117.jpg,42
87,235,591,412,177,Rolls-Royce Phantom Sedan 2012,00118.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00118.jpg,40
173,370,1207,960,147,Jeep Liberty SUV 2012,00119.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00119.jpg,85
3,19,195,114,161,Mercedes-Benz 300-Class Convertible 1993,00120.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00120.jpg,86
49,143,487,455,109,Ford Expedition EL SUV 2009,00121.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00121.jpg,87
72,67,233,176,28,BMW 1 Series Coupe 2012,00122.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00122.jpg,88
151,568,1954,1271,144,Jaguar XK XKR 2012,00123.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00123.jpg,89
14,88,271,178,53,Cadillac Escalade EXT Crew Cab 2007,00124.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00124.jpg,45
135,761,1894,1353,29,BMW 3 Series Sedan 2012,00125.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00125.jpg,59
44,123,778,487,66,Chevrolet Cobalt SS 2010,00126.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00126.jpg,29
69,103,537,322,79,Chrysler 300 SRT-8 2010,00127.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00127.jpg,19
86,78,355,284,13,Audi A5 Coupe 2012,00128.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00128.jpg,36
50,80,592,273,136,Hyundai Accent Sedan 2012,00129.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00129.jpg,90
95,161,543,368,143,Isuzu Ascender SUV 2008,00130.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00130.jpg,91
275,195,863,474,171,Nissan 240SX Coupe 1998,00131.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00131.jpg,92
99,78,557,389,89,Dodge Journey SUV 2012,00132.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00132.jpg,6
11,126,426,360,135,Hyundai Elantra Sedan 2007,00133.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00133.jpg,12
1,2,267,185,161,Mercedes-Benz 300-Class Convertible 1993,00134.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00134.jpg,86
19,735,2669,2192,58,Chevrolet Traverse SUV 2012,00135.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00135.jpg,9
21,35,279,195,122,GMC Canyon Extended Cab 2012,00136.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00136.jpg,57
45,99,593,403,178,Scion xD Hatchback 2012,00137.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00137.jpg,93
130,282,1425,900,56,Chevrolet Corvette ZR1 2012,00138.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00138.jpg,94
72,215,628,481,184,Suzuki SX4 Sedan 2012,00139.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00139.jpg,24
62,95,633,434,191,Volkswagen Golf Hatchback 1991,00140.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00140.jpg,37
13,106,476,260,40,Bentley Arnage Sedan 2009,00141.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00141.jpg,95
78,300,952,633,60,Chevrolet HHR SS 2010,00142.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00142.jpg,96
72,51,566,412,155,Land Rover LR2 SUV 2012,00143.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00143.jpg,97
66,59,283,202,71,Chevrolet Express Van 2007,00144.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00144.jpg,76
135,36,1181,885,140,Hyundai Azera Sedan 2012,00145.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00145.jpg,98
2,5,298,162,42,Bentley Continental GT Coupe 2012,00146.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00146.jpg,42
8,12,770,309,76,Chrysler Aspen SUV 2009,00147.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00147.jpg,99
24,78,608,379,187,Toyota Camry Sedan 2012,00148.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00148.jpg,53
34,1,242,179,86,Dodge Ram Pickup 3500 Crew Cab 2010,00149.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00149.jpg,25
11,208,596,386,8,Aston Martin V8 Vantage Convertible 2012,00150.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00150.jpg,54
8,37,294,150,5,Acura TSX Sedan 2012,00151.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00151.jpg,58
23,66,499,311,47,Buick Regal GS 2012,00152.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00152.jpg,100
6,138,627,361,30,BMW 3 Series Wagon 2012,00153.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00153.jpg,101
17,105,385,243,18,Audi 100 Wagon 1994,00154.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00154.jpg,66
76,4,1585,1120,149,Jeep Compass SUV 2012,00155.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00155.jpg,102
22,21,211,139,174,Ram C/V Cargo Van Minivan 2012,00156.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00156.jpg,103
32,130,973,661,138,Hyundai Sonata Sedan 2012,00157.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00157.jpg,71
75,236,1196,846,179,Spyker C8 Convertible 2009,00158.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00158.jpg,104
37,139,988,694,24,Audi S4 Sedan 2007,00159.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00159.jpg,105
114,46,546,287,42,Bentley Continental GT Coupe 2012,00160.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00160.jpg,42
12,83,629,354,73,Chevrolet Malibu Sedan 2007,00161.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00161.jpg,16
38,66,548,385,176,Rolls-Royce Ghost Sedan 2012,00162.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00162.jpg,106
46,84,661,428,1,AM General Hummer SUV 2000,00163.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00163.jpg,107
13,29,239,174,37,BMW X3 SUV 2012,00164.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00164.jpg,75
27,65,490,220,36,BMW M6 Convertible 2010,00165.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00165.jpg,20
4,69,402,245,108,Ford Freestar Minivan 2007,00166.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00166.jpg,108
19,27,429,258,41,Bentley Mulsanne Sedan 2011,00167.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00167.jpg,109
110,96,565,389,40,Bentley Arnage Sedan 2009,00168.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00168.jpg,95
2,22,140,81,119,GMC Savana Van 2012,00169.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00169.jpg,38
48,71,615,453,119,GMC Savana Van 2012,00170.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00170.jpg,38
41,42,262,170,19,Audi TT Hatchback 2011,00171.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00171.jpg,110
6,108,493,267,163,Mercedes-Benz SL-Class Coupe 2009,00172.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00172.jpg,111
26,61,508,342,120,GMC Yukon Hybrid SUV 2012,00173.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00173.jpg,21
13,29,249,159,54,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,00174.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00174.jpg,112
69,120,739,502,116,Ford E-Series Wagon Van 2012,00175.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00175.jpg,67
45,85,1005,558,66,Chevrolet Cobalt SS 2010,00176.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00176.jpg,29
98,22,650,302,50,Buick Enclave SUV 2012,00177.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00177.jpg,113
5,28,285,148,122,GMC Canyon Extended Cab 2012,00178.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00178.jpg,57
42,113,601,439,155,Land Rover LR2 SUV 2012,00179.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00179.jpg,97
3,40,297,157,142,Infiniti QX56 SUV 2011,00180.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00180.jpg,35
84,256,913,752,68,Chevrolet TrailBlazer SS 2009,00181.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00181.jpg,114
43,226,1001,630,170,Nissan Juke Hatchback 2012,00182.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00182.jpg,22
2,9,196,125,161,Mercedes-Benz 300-Class Convertible 1993,00183.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00183.jpg,86
34,51,604,344,161,Mercedes-Benz 300-Class Convertible 1993,00184.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00184.jpg,86
24,35,620,438,133,Hyundai Veracruz SUV 2012,00185.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00185.jpg,30
6,72,255,178,125,HUMMER H2 SUT Crew Cab 2009,00186.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00186.jpg,115
4,408,1600,934,160,McLaren MP4-12C Coupe 2012,00187.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00187.jpg,116
25,162,1241,764,93,Dodge Challenger SRT8 2011,00188.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00188.jpg,117
18,15,583,421,183,Suzuki SX4 Hatchback 2012,00189.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00189.jpg,118
198,416,1271,935,45,Bugatti Veyron 16.4 Convertible 2009,00190.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00190.jpg,119
129,75,654,422,143,Isuzu Ascender SUV 2008,00191.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00191.jpg,91
37,24,259,212,189,Toyota 4Runner SUV 2012,00192.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00192.jpg,120
82,107,990,723,48,Buick Rainier SUV 2007,00193.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00193.jpg,121
187,327,1211,769,176,Rolls-Royce Ghost Sedan 2012,00194.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00194.jpg,106
150,339,1313,771,77,Chrysler Sebring Convertible 2010,00195.jpg,C:/Users/seanf/Desktop/archive/cars_train/cars_train/00195.jpg,122
