fname,box11,box12,box21,box22,class,difficult,model_name
00036.jpg,13,235,2021,1253,0,0,AM General Hummer SUV 2000
00037.jpg,6,20,123,88,0,0,AM General Hummer SUV 2000
00038.jpg,26,25,283,157,0,0,AM General Hummer SUV 2000
00039.jpg,61,98,458,376,0,0,AM General Hummer SUV 2000
00040.jpg,111,213,907,683,0,0,AM General Hummer SUV 2000
00041.jpg,178,214,901,658,0,0,AM General Hummer SUV 2000
00042.jpg,9,14,490,368,0,0,AM General Hummer SUV 2000
00043.jpg,28,48,663,302,0,0,AM General Hummer SUV 2000
00044.jpg,4,9,96,88,0,0,AM General Hummer SUV 2000
00045.jpg,6,7,94,68,0,0,AM General Hummer SUV 2000
00046.jpg,14,16,268,169,0,1,AM General Hummer SUV 2000
00047.jpg,10,18,89,61,0,1,AM General Hummer SUV 2000
00048.jpg,111,54,365,190,0,1,AM General Hummer SUV 2000
00049.jpg,9,33,479,276,0,1,AM General Hummer SUV 2000
00050.jpg,9,3,93,41,0,1,AM General Hummer SUV 2000
00051.jpg,15,10,128,76,0,1,AM General Hummer SUV 2000
00052.jpg,11,60,796,535,0,1,AM General Hummer SUV 2000
00053.jpg,92,93,585,399,0,1,AM General Hummer SUV 2000
00054.jpg,5,9,87,61,0,1,AM General Hummer SUV 2000
00055.jpg,8,5,85,69,0,1,AM General Hummer SUV 2000
00056.jpg,70,94,439,341,0,1,AM General Hummer SUV 2000
00057.jpg,87,6,552,348,0,1,AM General Hummer SUV 2000
00058.jpg,28,14,118,80,0,1,AM General Hummer SUV 2000
00059.jpg,11,8,106,80,0,1,AM General Hummer SUV 2000
00060.jpg,53,108,544,413,0,1,AM General Hummer SUV 2000
00061.jpg,31,12,270,160,0,1,AM General Hummer SUV 2000
00062.jpg,4,13,145,109,0,1,AM General Hummer SUV 2000
00063.jpg,8,12,135,83,0,1,AM General Hummer SUV 2000
00064.jpg,11,16,135,93,0,1,AM General Hummer SUV 2000
00065.jpg,28,117,415,274,0,1,AM General Hummer SUV 2000
00066.jpg,45,39,729,414,0,1,AM General Hummer SUV 2000
00067.jpg,3,3,639,480,0,1,AM General Hummer SUV 2000
00068.jpg,18,30,133,93,0,1,AM General Hummer SUV 2000
00069.jpg,24,141,721,396,0,1,AM General Hummer SUV 2000
00070.jpg,31,20,226,119,0,1,AM General Hummer SUV 2000
00071.jpg,17,23,240,135,0,1,AM General Hummer SUV 2000
00072.jpg,6,20,137,73,0,1,AM General Hummer SUV 2000
00073.jpg,111,177,920,642,0,1,AM General Hummer SUV 2000
00074.jpg,32,69,487,316,0,1,AM General Hummer SUV 2000
00075.jpg,2,7,102,57,0,1,AM General Hummer SUV 2000
00076.jpg,26,62,763,504,0,1,AM General Hummer SUV 2000
00077.jpg,46,115,623,469,0,1,AM General Hummer SUV 2000
00078.jpg,25,123,589,421,0,1,AM General Hummer SUV 2000
00079.jpg,20,79,654,425,0,1,AM General Hummer SUV 2000
00080.jpg,5,14,160,114,0,1,AM General Hummer SUV 2000
00081.jpg,62,73,718,441,0,1,AM General Hummer SUV 2000
00082.jpg,5,4,136,87,0,1,AM General Hummer SUV 2000
00083.jpg,67,98,283,213,0,1,AM General Hummer SUV 2000
00084.jpg,40,60,354,237,0,1,AM General Hummer SUV 2000
00085.jpg,12,18,113,78,0,1,AM General Hummer SUV 2000
00086.jpg,26,72,774,480,0,1,AM General Hummer SUV 2000
00087.jpg,24,1,368,199,0,1,AM General Hummer SUV 2000
00088.jpg,2,13,160,120,0,1,AM General Hummer SUV 2000
00089.jpg,11,13,84,60,0,1,AM General Hummer SUV 2000
00090.jpg,434,441,1805,1126,1,0,Acura RL Sedan 2012
00091.jpg,104,183,842,608,1,0,Acura RL Sedan 2012
00092.jpg,7,133,716,444,1,0,Acura RL Sedan 2012
00093.jpg,8,29,444,213,1,0,Acura RL Sedan 2012
00094.jpg,150,102,877,444,1,0,Acura RL Sedan 2012
00095.jpg,139,416,1954,1149,1,0,Acura RL Sedan 2012
00096.jpg,2,24,288,129,1,0,Acura RL Sedan 2012
00097.jpg,115,63,817,324,1,0,Acura RL Sedan 2012
00098.jpg,84,189,573,376,1,0,Acura RL Sedan 2012
00099.jpg,13,256,769,532,1,0,Acura RL Sedan 2012
00100.jpg,30,16,430,215,1,0,Acura RL Sedan 2012
00101.jpg,32,32,438,394,1,0,Acura RL Sedan 2012
00102.jpg,16,115,445,269,1,0,Acura RL Sedan 2012
00103.jpg,34,53,270,139,1,0,Acura RL Sedan 2012
00104.jpg,179,177,753,452,1,0,Acura RL Sedan 2012
00105.jpg,68,93,440,317,1,0,Acura RL Sedan 2012
00106.jpg,139,172,690,431,1,0,Acura RL Sedan 2012
00107.jpg,60,166,614,425,1,0,Acura RL Sedan 2012
00108.jpg,8,37,294,150,1,0,Acura RL Sedan 2012
00109.jpg,36,40,261,174,1,0,Acura RL Sedan 2012
00110.jpg,130,10,839,346,1,0,Acura RL Sedan 2012
00111.jpg,23,134,619,349,1,0,Acura RL Sedan 2012
00112.jpg,45,22,745,514,1,0,Acura RL Sedan 2012
00113.jpg,10,34,242,126,1,0,Acura RL Sedan 2012
00114.jpg,18,63,445,267,1,0,Acura RL Sedan 2012
00115.jpg,56,95,627,368,1,0,Acura RL Sedan 2012
00116.jpg,73,163,674,401,1,0,Acura RL Sedan 2012
00117.jpg,97,49,455,326,1,0,Acura RL Sedan 2012
00118.jpg,45,68,426,253,1,0,Acura RL Sedan 2012
00119.jpg,20,16,449,300,1,0,Acura RL Sedan 2012
00120.jpg,38,92,420,241,1,0,Acura RL Sedan 2012
00121.jpg,18,141,603,367,1,0,Acura RL Sedan 2012
00122.jpg,108,147,675,434,1,1,Acura RL Sedan 2012
00123.jpg,85,43,731,324,1,1,Acura RL Sedan 2012
00124.jpg,208,97,909,447,1,1,Acura RL Sedan 2012
00125.jpg,24,55,588,405,1,1,Acura RL Sedan 2012
00126.jpg,27,82,618,400,1,1,Acura RL Sedan 2012
00127.jpg,97,7,888,336,1,1,Acura RL Sedan 2012
00128.jpg,24,38,427,277,1,1,Acura RL Sedan 2012
00129.jpg,30,11,269,196,1,1,Acura RL Sedan 2012
00130.jpg,51,51,441,289,1,1,Acura RL Sedan 2012
00131.jpg,186,151,459,347,1,1,Acura RL Sedan 2012
00132.jpg,56,114,638,448,1,1,Acura RL Sedan 2012
00133.jpg,12,33,292,171,1,1,Acura RL Sedan 2012
00134.jpg,2,104,300,203,1,1,Acura RL Sedan 2012
00135.jpg,32,96,565,362,1,1,Acura RL Sedan 2012
00136.jpg,29,55,279,177,1,1,Acura RL Sedan 2012
00137.jpg,14,98,536,299,1,1,Acura RL Sedan 2012
00138.jpg,73,84,516,306,1,1,Acura RL Sedan 2012
00139.jpg,42,103,451,277,1,1,Acura RL Sedan 2012
00140.jpg,41,161,449,337,1,1,Acura RL Sedan 2012
00141.jpg,76,111,580,458,1,1,Acura RL Sedan 2012
00142.jpg,51,90,460,247,1,1,Acura RL Sedan 2012
00143.jpg,129,32,861,602,1,1,Acura RL Sedan 2012
00144.jpg,13,82,691,432,1,1,Acura RL Sedan 2012
00145.jpg,13,165,583,417,1,1,Acura RL Sedan 2012
00146.jpg,28,27,397,217,1,1,Acura RL Sedan 2012
00147.jpg,214,492,1345,967,1,1,Acura RL Sedan 2012
00148.jpg,115,322,1085,674,1,1,Acura RL Sedan 2012
00149.jpg,129,213,899,614,1,1,Acura RL Sedan 2012
00150.jpg,11,87,470,268,1,1,Acura RL Sedan 2012
00151.jpg,37,30,292,190,1,1,Acura RL Sedan 2012
00152.jpg,85,245,713,472,1,1,Acura RL Sedan 2012
00153.jpg,30,35,619,350,1,1,Acura RL Sedan 2012
00154.jpg,29,75,271,168,2,0,Acura TL Sedan 2012
00155.jpg,13,35,250,153,2,0,Acura TL Sedan 2012
00156.jpg,10,24,254,158,2,0,Acura TL Sedan 2012
00157.jpg,10,86,614,383,2,0,Acura TL Sedan 2012
00158.jpg,36,116,868,587,2,0,Acura TL Sedan 2012
00159.jpg,57,236,881,569,2,0,Acura TL Sedan 2012
00160.jpg,147,125,471,426,2,0,Acura TL Sedan 2012
00161.jpg,18,84,478,307,2,0,Acura TL Sedan 2012
00162.jpg,47,100,605,371,2,0,Acura TL Sedan 2012
00163.jpg,131,124,537,329,2,0,Acura TL Sedan 2012
00164.jpg,33,115,576,346,2,0,Acura TL Sedan 2012
00165.jpg,108,201,706,429,2,0,Acura TL Sedan 2012
00166.jpg,48,41,511,237,2,0,Acura TL Sedan 2012
00167.jpg,83,93,686,425,2,0,Acura TL Sedan 2012
00168.jpg,37,77,582,342,2,0,Acura TL Sedan 2012
00169.jpg,25,55,277,150,2,0,Acura TL Sedan 2012
00170.jpg,13,115,787,440,2,0,Acura TL Sedan 2012
00171.jpg,55,95,563,320,2,0,Acura TL Sedan 2012
00172.jpg,52,46,487,247,2,0,Acura TL Sedan 2012
00173.jpg,60,91,588,373,2,0,Acura TL Sedan 2012
00174.jpg,8,80,250,184,2,0,Acura TL Sedan 2012
00175.jpg,47,154,598,369,2,0,Acura TL Sedan 2012
00176.jpg,26,49,477,288,2,0,Acura TL Sedan 2012
00177.jpg,189,174,800,542,2,0,Acura TL Sedan 2012
00178.jpg,147,202,1066,629,2,0,Acura TL Sedan 2012
00179.jpg,35,12,448,331,2,0,Acura TL Sedan 2012
00180.jpg,54,107,543,344,2,0,Acura TL Sedan 2012
00181.jpg,1,66,619,339,2,0,Acura TL Sedan 2012
00182.jpg,178,424,1828,1090,2,0,Acura TL Sedan 2012
00183.jpg,14,84,627,398,2,0,Acura TL Sedan 2012
00184.jpg,3,47,296,183,2,0,Acura TL Sedan 2012
00185.jpg,28,34,297,182,2,0,Acura TL Sedan 2012
00186.jpg,79,84,528,327,2,0,Acura TL Sedan 2012
00187.jpg,15,14,278,171,2,0,Acura TL Sedan 2012
00188.jpg,22,101,380,235,2,0,Acura TL Sedan 2012
00189.jpg,1,1,1484,900,2,0,Acura TL Sedan 2012
00190.jpg,51,57,590,402,2,0,Acura TL Sedan 2012
00191.jpg,71,192,594,465,2,0,Acura TL Sedan 2012
00192.jpg,283,298,1405,979,2,0,Acura TL Sedan 2012
00193.jpg,15,9,468,408,2,0,Acura TL Sedan 2012
00194.jpg,373,56,2663,1915,2,0,Acura TL Sedan 2012
00195.jpg,14,67,482,302,2,0,Acura TL Sedan 2012
00196.jpg,84,13,562,311,2,0,Acura TL Sedan 2012
00197.jpg,18,97,282,203,2,1,Acura TL Sedan 2012
00198.jpg,5,109,385,255,2,1,Acura TL Sedan 2012
00199.jpg,55,62,204,178,2,1,Acura TL Sedan 2012
00200.jpg,17,52,376,289,2,1,Acura TL Sedan 2012
00201.jpg,45,86,532,334,2,1,Acura TL Sedan 2012
00202.jpg,32,126,997,627,2,1,Acura TL Sedan 2012
00203.jpg,104,11,1997,1144,2,1,Acura TL Sedan 2012
00204.jpg,13,27,778,368,2,1,Acura TL Sedan 2012
00205.jpg,14,79,242,166,2,1,Acura TL Sedan 2012
00206.jpg,12,68,285,193,2,1,Acura TL Sedan 2012
00207.jpg,30,76,360,202,2,1,Acura TL Sedan 2012
00208.jpg,73,41,422,296,2,1,Acura TL Sedan 2012
00209.jpg,19,156,595,468,2,1,Acura TL Sedan 2012
00210.jpg,1,65,271,180,2,1,Acura TL Sedan 2012
00211.jpg,16,58,597,361,2,1,Acura TL Sedan 2012
00212.jpg,123,34,714,436,2,1,Acura TL Sedan 2012
00213.jpg,78,146,472,347,2,1,Acura TL Sedan 2012
00214.jpg,32,71,548,281,2,1,Acura TL Sedan 2012
00215.jpg,43,74,581,350,2,1,Acura TL Sedan 2012
00216.jpg,51,54,246,186,2,1,Acura TL Sedan 2012
00217.jpg,17,53,230,171,2,1,Acura TL Sedan 2012
00218.jpg,128,159,879,521,2,1,Acura TL Sedan 2012
00219.jpg,153,152,802,480,2,1,Acura TL Sedan 2012
00220.jpg,89,182,719,467,2,1,Acura TL Sedan 2012
00221.jpg,52,94,470,304,2,1,Acura TL Sedan 2012
00222.jpg,16,9,289,193,2,1,Acura TL Sedan 2012
00223.jpg,121,133,674,544,2,1,Acura TL Sedan 2012
00224.jpg,56,53,250,192,2,1,Acura TL Sedan 2012
00225.jpg,52,28,546,336,2,1,Acura TL Sedan 2012
00226.jpg,157,47,796,315,2,1,Acura TL Sedan 2012
00227.jpg,44,58,389,312,2,1,Acura TL Sedan 2012
00228.jpg,65,33,485,351,2,1,Acura TL Sedan 2012
00229.jpg,39,64,386,246,2,1,Acura TL Sedan 2012
00230.jpg,73,69,542,373,2,1,Acura TL Sedan 2012
00231.jpg,22,84,779,466,2,1,Acura TL Sedan 2012
00232.jpg,49,97,396,260,2,1,Acura TL Sedan 2012
00233.jpg,14,165,574,387,2,1,Acura TL Sedan 2012
00234.jpg,10,142,478,348,2,1,Acura TL Sedan 2012
00235.jpg,17,92,288,198,2,1,Acura TL Sedan 2012
00236.jpg,12,101,637,383,2,1,Acura TL Sedan 2012
00237.jpg,19,23,698,284,2,1,Acura TL Sedan 2012
00238.jpg,168,172,877,592,2,1,Acura TL Sedan 2012
00239.jpg,9,22,248,173,2,1,Acura TL Sedan 2012
00240.jpg,147,215,1468,786,3,0,Acura TL Type-S 2008
00241.jpg,24,341,1001,696,3,0,Acura TL Type-S 2008
00242.jpg,30,26,589,373,3,0,Acura TL Type-S 2008
00243.jpg,57,50,388,218,3,0,Acura TL Type-S 2008
00244.jpg,58,146,943,553,3,0,Acura TL Type-S 2008
00245.jpg,45,79,795,507,3,0,Acura TL Type-S 2008
00246.jpg,66,277,932,564,3,0,Acura TL Type-S 2008
00247.jpg,62,220,992,667,3,0,Acura TL Type-S 2008
00248.jpg,62,149,560,323,3,0,Acura TL Type-S 2008
00249.jpg,30,152,602,421,3,0,Acura TL Type-S 2008
00250.jpg,51,71,588,375,3,0,Acura TL Type-S 2008
00251.jpg,18,69,485,260,3,0,Acura TL Type-S 2008
00252.jpg,39,47,452,227,3,0,Acura TL Type-S 2008
00253.jpg,71,145,629,460,3,0,Acura TL Type-S 2008
00254.jpg,48,59,612,432,3,0,Acura TL Type-S 2008
00255.jpg,13,46,488,295,3,0,Acura TL Type-S 2008
00256.jpg,62,176,400,330,3,0,Acura TL Type-S 2008
00257.jpg,18,149,621,354,3,0,Acura TL Type-S 2008
00258.jpg,9,97,493,252,3,0,Acura TL Type-S 2008
00259.jpg,89,134,1194,699,3,0,Acura TL Type-S 2008
00260.jpg,23,94,402,269,3,0,Acura TL Type-S 2008
00261.jpg,29,444,1253,928,3,0,Acura TL Type-S 2008
00262.jpg,22,88,479,312,3,0,Acura TL Type-S 2008
00263.jpg,69,8,432,325,3,0,Acura TL Type-S 2008
00264.jpg,16,55,560,382,3,0,Acura TL Type-S 2008
00265.jpg,37,93,608,404,3,0,Acura TL Type-S 2008
00266.jpg,56,23,776,372,3,0,Acura TL Type-S 2008
00267.jpg,78,153,594,421,3,0,Acura TL Type-S 2008
00268.jpg,66,114,597,407,3,0,Acura TL Type-S 2008
00269.jpg,185,495,1497,964,3,0,Acura TL Type-S 2008
00270.jpg,39,29,470,286,3,0,Acura TL Type-S 2008
00271.jpg,33,182,617,386,3,0,Acura TL Type-S 2008
00272.jpg,107,261,893,610,3,0,Acura TL Type-S 2008
00273.jpg,5,36,623,357,3,0,Acura TL Type-S 2008
00274.jpg,73,86,441,306,3,0,Acura TL Type-S 2008
00275.jpg,42,170,591,389,3,0,Acura TL Type-S 2008
00276.jpg,2,50,617,488,3,0,Acura TL Type-S 2008
00277.jpg,14,135,605,445,3,0,Acura TL Type-S 2008
00278.jpg,31,75,480,308,3,0,Acura TL Type-S 2008
00279.jpg,69,83,544,372,3,0,Acura TL Type-S 2008
00280.jpg,63,106,435,329,3,0,Acura TL Type-S 2008
00281.jpg,58,85,532,433,3,0,Acura TL Type-S 2008
00282.jpg,28,127,477,302,3,1,Acura TL Type-S 2008
00283.jpg,16,29,782,330,3,1,Acura TL Type-S 2008
00284.jpg,9,2,792,404,3,1,Acura TL Type-S 2008
00285.jpg,23,120,573,340,3,1,Acura TL Type-S 2008
00286.jpg,118,46,474,301,3,1,Acura TL Type-S 2008
00287.jpg,34,118,555,380,3,1,Acura TL Type-S 2008
00288.jpg,29,42,593,394,3,1,Acura TL Type-S 2008
00289.jpg,15,35,443,272,3,1,Acura TL Type-S 2008
00290.jpg,18,27,625,436,3,1,Acura TL Type-S 2008
00291.jpg,20,157,432,309,3,1,Acura TL Type-S 2008
00292.jpg,30,56,418,301,3,1,Acura TL Type-S 2008
00293.jpg,32,26,475,213,3,1,Acura TL Type-S 2008
00294.jpg,29,33,624,331,3,1,Acura TL Type-S 2008
00295.jpg,21,41,786,297,3,1,Acura TL Type-S 2008
00296.jpg,42,133,681,447,3,1,Acura TL Type-S 2008
00297.jpg,55,262,994,602,3,1,Acura TL Type-S 2008
00298.jpg,49,268,988,702,3,1,Acura TL Type-S 2008
00299.jpg,21,34,472,309,3,1,Acura TL Type-S 2008
00300.jpg,68,166,1151,704,3,1,Acura TL Type-S 2008
00301.jpg,11,65,484,304,3,1,Acura TL Type-S 2008
00302.jpg,555,520,2755,1743,3,1,Acura TL Type-S 2008
00303.jpg,18,187,996,704,3,1,Acura TL Type-S 2008
00304.jpg,63,110,710,451,3,1,Acura TL Type-S 2008
00305.jpg,64,187,959,617,3,1,Acura TL Type-S 2008
00306.jpg,40,157,482,311,3,1,Acura TL Type-S 2008
00307.jpg,159,179,1320,780,3,1,Acura TL Type-S 2008
00308.jpg,26,129,586,334,3,1,Acura TL Type-S 2008
00309.jpg,19,151,630,404,3,1,Acura TL Type-S 2008
00310.jpg,32,74,613,368,3,1,Acura TL Type-S 2008
00311.jpg,145,337,1786,1027,3,1,Acura TL Type-S 2008
00312.jpg,21,160,488,301,3,1,Acura TL Type-S 2008
00313.jpg,114,124,923,587,3,1,Acura TL Type-S 2008
00314.jpg,10,80,468,320,3,1,Acura TL Type-S 2008
00315.jpg,69,105,412,280,3,1,Acura TL Type-S 2008
00316.jpg,29,122,1760,871,3,1,Acura TL Type-S 2008
00317.jpg,13,29,795,350,3,1,Acura TL Type-S 2008
00318.jpg,39,82,467,278,3,1,Acura TL Type-S 2008
00319.jpg,25,31,505,306,3,1,Acura TL Type-S 2008
00320.jpg,17,127,438,274,3,1,Acura TL Type-S 2008
00321.jpg,54,115,434,269,3,1,Acura TL Type-S 2008
00322.jpg,53,115,465,351,3,1,Acura TL Type-S 2008
00323.jpg,40,119,466,364,3,1,Acura TL Type-S 2008
00324.jpg,101,314,894,612,4,0,Acura TSX Sedan 2012
00325.jpg,19,49,283,191,4,0,Acura TSX Sedan 2012
00326.jpg,105,91,528,338,4,0,Acura TSX Sedan 2012
00327.jpg,126,227,885,551,4,0,Acura TSX Sedan 2012
00328.jpg,9,36,293,180,4,0,Acura TSX Sedan 2012
00329.jpg,4,7,299,124,4,0,Acura TSX Sedan 2012
00330.jpg,69,50,204,156,4,0,Acura TSX Sedan 2012
00331.jpg,31,119,404,248,4,0,Acura TSX Sedan 2012
00332.jpg,26,118,1009,541,4,0,Acura TSX Sedan 2012
00333.jpg,57,35,222,144,4,0,Acura TSX Sedan 2012
00334.jpg,26,37,241,166,4,0,Acura TSX Sedan 2012
00335.jpg,22,83,415,322,4,0,Acura TSX Sedan 2012
00336.jpg,27,9,270,128,4,0,Acura TSX Sedan 2012
00337.jpg,25,56,450,316,4,0,Acura TSX Sedan 2012
00338.jpg,172,393,1713,1063,4,0,Acura TSX Sedan 2012
00339.jpg,142,124,675,445,4,0,Acura TSX Sedan 2012
00340.jpg,39,89,457,334,4,0,Acura TSX Sedan 2012
00341.jpg,20,216,562,391,4,0,Acura TSX Sedan 2012
00342.jpg,93,101,404,274,4,0,Acura TSX Sedan 2012
00343.jpg,34,53,270,139,4,0,Acura TSX Sedan 2012
00344.jpg,45,62,247,190,4,0,Acura TSX Sedan 2012
00345.jpg,115,507,2457,1658,4,0,Acura TSX Sedan 2012
00346.jpg,33,67,404,283,4,0,Acura TSX Sedan 2012
00347.jpg,20,7,239,174,4,0,Acura TSX Sedan 2012
00348.jpg,52,35,246,174,4,0,Acura TSX Sedan 2012
00349.jpg,7,74,292,200,4,0,Acura TSX Sedan 2012
00350.jpg,5,25,271,177,4,0,Acura TSX Sedan 2012
00351.jpg,68,48,235,162,4,0,Acura TSX Sedan 2012
00352.jpg,15,58,246,139,4,0,Acura TSX Sedan 2012
00353.jpg,20,45,252,153,4,0,Acura TSX Sedan 2012
00354.jpg,35,79,271,185,4,0,Acura TSX Sedan 2012
00355.jpg,32,49,363,222,4,0,Acura TSX Sedan 2012
00356.jpg,24,38,246,172,4,0,Acura TSX Sedan 2012
00357.jpg,50,162,640,425,4,0,Acura TSX Sedan 2012
00358.jpg,36,185,990,629,4,0,Acura TSX Sedan 2012
00359.jpg,118,78,599,419,4,0,Acura TSX Sedan 2012
00360.jpg,38,29,380,177,4,0,Acura TSX Sedan 2012
00361.jpg,37,67,237,168,4,0,Acura TSX Sedan 2012
00362.jpg,19,63,307,170,4,0,Acura TSX Sedan 2012
00363.jpg,11,8,270,160,4,0,Acura TSX Sedan 2012
00364.jpg,8,37,294,150,4,0,Acura TSX Sedan 2012
00365.jpg,13,30,285,182,4,1,Acura TSX Sedan 2012
00366.jpg,281,141,1300,866,4,1,Acura TSX Sedan 2012
00367.jpg,40,41,278,151,4,1,Acura TSX Sedan 2012
00368.jpg,467,620,4238,2192,4,1,Acura TSX Sedan 2012
00369.jpg,36,80,851,563,4,1,Acura TSX Sedan 2012
00370.jpg,15,25,290,176,4,1,Acura TSX Sedan 2012
00371.jpg,34,75,375,295,4,1,Acura TSX Sedan 2012
00372.jpg,57,210,593,403,4,1,Acura TSX Sedan 2012
00373.jpg,74,75,574,334,4,1,Acura TSX Sedan 2012
00374.jpg,13,43,243,167,4,1,Acura TSX Sedan 2012
00375.jpg,61,27,889,333,4,1,Acura TSX Sedan 2012
00376.jpg,126,269,909,605,4,1,Acura TSX Sedan 2012
00377.jpg,100,76,697,449,4,1,Acura TSX Sedan 2012
00378.jpg,64,193,625,503,4,1,Acura TSX Sedan 2012
00379.jpg,31,43,246,146,4,1,Acura TSX Sedan 2012
00380.jpg,31,16,237,160,4,1,Acura TSX Sedan 2012
00381.jpg,66,61,272,159,4,1,Acura TSX Sedan 2012
00382.jpg,114,79,500,346,4,1,Acura TSX Sedan 2012
00383.jpg,10,45,258,164,4,1,Acura TSX Sedan 2012
00384.jpg,23,14,250,151,4,1,Acura TSX Sedan 2012
00385.jpg,346,264,1155,800,4,1,Acura TSX Sedan 2012
00386.jpg,83,95,353,280,4,1,Acura TSX Sedan 2012
00387.jpg,31,7,893,347,4,1,Acura TSX Sedan 2012
00388.jpg,62,98,274,205,4,1,Acura TSX Sedan 2012
00389.jpg,42,68,337,195,4,1,Acura TSX Sedan 2012
00390.jpg,166,139,611,353,4,1,Acura TSX Sedan 2012
00391.jpg,85,581,1505,1043,4,1,Acura TSX Sedan 2012
00392.jpg,91,214,955,604,4,1,Acura TSX Sedan 2012
00393.jpg,12,21,393,290,4,1,Acura TSX Sedan 2012
00394.jpg,53,99,420,245,4,1,Acura TSX Sedan 2012
00395.jpg,7,13,208,134,4,1,Acura TSX Sedan 2012
00396.jpg,25,221,702,453,4,1,Acura TSX Sedan 2012
00397.jpg,56,80,594,365,4,1,Acura TSX Sedan 2012
00398.jpg,14,88,404,264,4,1,Acura TSX Sedan 2012
00399.jpg,10,8,294,120,4,1,Acura TSX Sedan 2012
00400.jpg,47,64,270,176,4,1,Acura TSX Sedan 2012
00401.jpg,7,15,147,105,4,1,Acura TSX Sedan 2012
00402.jpg,78,187,959,560,4,1,Acura TSX Sedan 2012
00403.jpg,52,53,748,487,4,1,Acura TSX Sedan 2012
00404.jpg,21,42,227,159,4,1,Acura TSX Sedan 2012
00405.jpg,181,51,427,232,5,0,Acura Integra Type R 2001
00406.jpg,89,128,515,361,5,0,Acura Integra Type R 2001
00407.jpg,58,72,763,529,5,0,Acura Integra Type R 2001
00408.jpg,131,42,500,349,5,0,Acura Integra Type R 2001
00409.jpg,36,103,544,310,5,0,Acura Integra Type R 2001
00410.jpg,10,34,627,322,5,0,Acura Integra Type R 2001
00411.jpg,90,189,1495,820,5,0,Acura Integra Type R 2001
00412.jpg,9,184,740,499,5,0,Acura Integra Type R 2001
00413.jpg,146,73,486,236,5,0,Acura Integra Type R 2001
00414.jpg,17,152,476,367,5,0,Acura Integra Type R 2001
00415.jpg,38,201,761,452,5,0,Acura Integra Type R 2001
00416.jpg,1,60,630,379,5,0,Acura Integra Type R 2001
00417.jpg,29,78,734,396,5,0,Acura Integra Type R 2001
00418.jpg,91,175,567,410,5,0,Acura Integra Type R 2001
00419.jpg,89,68,483,310,5,0,Acura Integra Type R 2001
00420.jpg,63,66,566,299,5,0,Acura Integra Type R 2001
00421.jpg,58,73,570,387,5,0,Acura Integra Type R 2001
00422.jpg,6,63,571,303,5,0,Acura Integra Type R 2001
00423.jpg,42,96,612,353,5,0,Acura Integra Type R 2001
00424.jpg,282,154,592,336,5,0,Acura Integra Type R 2001
00425.jpg,97,2,599,409,5,0,Acura Integra Type R 2001
00426.jpg,229,96,417,211,5,0,Acura Integra Type R 2001
00427.jpg,43,160,774,541,5,0,Acura Integra Type R 2001
00428.jpg,91,121,574,357,5,0,Acura Integra Type R 2001
00429.jpg,42,4,750,469,5,0,Acura Integra Type R 2001
